ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-17,46.999974611704,46.99871759200381,47.001193750858356,46.999974611704,46.999974611704,-3.6439915499598496e-06,-3.6439915499598496e-06,-3.6439915499598496e-06,-3.6439915499598496e-06,-3.6439915499598496e-06,-3.6439915499598496e-06,0.0,0.0,0.0,46.99997096771245
2020-02-18,47.999973237714,47.99865927709902,48.00118554340233,47.999973237714,47.999973237714,-2.090471480401688e-05,-2.090471480401688e-05,-2.090471480401688e-05,-2.090471480401688e-05,-2.090471480401688e-05,-2.090471480401688e-05,0.0,0.0,0.0,47.9999523329992
2020-02-19,48.999971863724,48.998501582581916,49.00126369390319,48.999971863724,48.999971863724,-2.2659655888749465e-05,-2.2659655888749465e-05,-2.2659655888749465e-05,-2.2659655888749465e-05,-2.2659655888749465e-05,-2.2659655888749465e-05,0.0,0.0,0.0,48.99994920406811
2020-02-20,49.999970489734,49.99868265225301,50.00138072808723,49.999970489734,49.999970489734,-5.301048554995173e-06,-5.301048554995173e-06,-5.301048554995173e-06,-5.301048554995173e-06,-5.301048554995173e-06,-5.301048554995173e-06,0.0,0.0,0.0,49.999965188685444
2020-02-21,50.999969115743994,50.99866834795649,51.001216144093995,50.999969115743994,50.999969115743994,1.610084249363999e-05,1.610084249363999e-05,1.610084249363999e-05,1.610084249363999e-05,1.610084249363999e-05,1.610084249363999e-05,0.0,0.0,0.0,50.99998521658649
2020-02-22,51.999976685544006,51.99863639621323,52.00134951478031,51.999976685544006,51.999976685544006,2.3448135717364257e-05,2.3448135717364257e-05,2.3448135717364257e-05,2.3448135717364257e-05,2.3448135717364257e-05,2.3448135717364257e-05,0.0,0.0,0.0,52.00000013367972
2020-02-23,52.999984255344,52.99870535615809,53.00123420541696,52.999984255344,52.999984255344,1.2960432586742368e-05,1.2960432586742368e-05,1.2960432586742368e-05,1.2960432586742368e-05,1.2960432586742368e-05,1.2960432586742368e-05,0.0,0.0,0.0,52.99999721577659
2020-02-24,53.999991825143994,53.9985670363011,54.00128298875757,53.999991825143994,53.999991825143994,-3.6439915499728922e-06,-3.6439915499728922e-06,-3.6439915499728922e-06,-3.6439915499728922e-06,-3.6439915499728922e-06,-3.6439915499728922e-06,0.0,0.0,0.0,53.999988181152446
2020-02-25,54.999994552404,54.99859208928205,55.001341398302436,54.999994552404,54.999994552404,-2.0904714804024946e-05,-2.0904714804024946e-05,-2.0904714804024946e-05,-2.0904714804024946e-05,-2.0904714804024946e-05,-2.0904714804024946e-05,0.0,0.0,0.0,54.999973647689195
2020-02-26,55.999997279663994,55.998635178267904,56.00132050406602,55.999997279663994,55.999997279663994,-2.265965588874076e-05,-2.265965588874076e-05,-2.265965588874076e-05,-2.265965588874076e-05,-2.265965588874076e-05,-2.265965588874076e-05,0.0,0.0,0.0,55.9999746200081
2020-02-27,57.000000006924004,56.998729131541054,57.0013520550973,57.000000006924004,57.000000006924004,-5.301048555076014e-06,-5.301048555076014e-06,-5.301048555076014e-06,-5.301048555076014e-06,-5.301048555076014e-06,-5.301048555076014e-06,0.0,0.0,0.0,56.99999470587545
2020-02-28,57.999982045484,57.9986156287831,58.001412854753944,57.999982045484,57.999982045484,1.6100842493651162e-05,1.6100842493651162e-05,1.6100842493651162e-05,1.6100842493651162e-05,1.6100842493651162e-05,1.6100842493651162e-05,0.0,0.0,0.0,57.9999981463265
2020-02-29,58.999964084043995,58.9987105385559,59.00134339340688,58.999964084043995,58.999964084043995,2.344813571736078e-05,2.344813571736078e-05,2.344813571736078e-05,2.344813571736078e-05,2.344813571736078e-05,2.344813571736078e-05,0.0,0.0,0.0,58.99998753217971
2020-03-01,59.999946122603994,59.99868508360017,60.00126269493487,59.999946122603994,59.999946122603994,1.2960432586791364e-05,1.2960432586791364e-05,1.2960432586791364e-05,1.2960432586791364e-05,1.2960432586791364e-05,1.2960432586791364e-05,0.0,0.0,0.0,59.99995908303658
2020-03-02,60.999957104164,60.99867385039329,61.00133800657556,60.999957104164,60.999957104164,-3.6439915499879715e-06,-3.6439915499879715e-06,-3.6439915499879715e-06,-3.6439915499879715e-06,-3.6439915499879715e-06,-3.6439915499879715e-06,0.0,0.0,0.0,60.99995346017245
2020-03-03,61.99996808572401,61.99859881199887,62.00129854750416,61.99996808572401,61.99996808572401,-2.0904714804033016e-05,-2.0904714804033016e-05,-2.0904714804033016e-05,-2.0904714804033016e-05,-2.0904714804033016e-05,-2.0904714804033016e-05,0.0,0.0,0.0,61.999947181009205
2020-03-04,62.999979067284,62.99860101190593,63.00116329771593,62.999979067284,62.999979067284,-2.265965588876948e-05,-2.265965588876948e-05,-2.265965588876948e-05,-2.265965588876948e-05,-2.265965588876948e-05,-2.265965588876948e-05,0.0,0.0,0.0,62.99995640762811
2020-03-05,63.99995877004402,63.99862315071528,64.00121088199187,63.99995877004402,63.99995877004402,-5.3010485550578835e-06,-5.3010485550578835e-06,-5.3010485550578835e-06,-5.3010485550578835e-06,-5.3010485550578835e-06,-5.3010485550578835e-06,0.0,0.0,0.0,63.999953468995464
2020-03-06,64.999938472804,64.99858301976909,65.0012490475362,64.999938472804,64.999938472804,1.6100842493665362e-05,1.6100842493665362e-05,1.6100842493665362e-05,1.6100842493665362e-05,1.6100842493665362e-05,1.6100842493665362e-05,0.0,0.0,0.0,64.99995457364649
2020-03-07,65.99991817556399,65.99865469914451,66.00129298945593,65.99991817556399,65.99991817556399,2.344813571735927e-05,2.344813571735927e-05,2.344813571735927e-05,2.344813571735927e-05,2.344813571735927e-05,2.344813571735927e-05,0.0,0.0,0.0,65.99994162369971
2020-03-08,66.999938184024,66.99863758663062,67.00131559185303,66.999938184024,66.999938184024,1.296043258678076e-05,1.296043258678076e-05,1.296043258678076e-05,1.296043258678076e-05,1.296043258678076e-05,1.296043258678076e-05,0.0,0.0,0.0,66.99995114445659
2020-03-09,67.99995819248399,67.9987024221081,68.00124234669435,67.99995819248399,67.99995819248399,-3.6439915499248553e-06,-3.6439915499248553e-06,-3.6439915499248553e-06,-3.6439915499248553e-06,-3.6439915499248553e-06,-3.6439915499248553e-06,0.0,0.0,0.0,67.99995454849244
2020-03-10,68.999978200944,68.9985892086108,69.00119575878165,68.999978200944,68.999978200944,-2.0904714804041083e-05,-2.0904714804041083e-05,-2.0904714804041083e-05,-2.0904714804041083e-05,-2.0904714804041083e-05,-2.0904714804041083e-05,0.0,0.0,0.0,68.9999572962292
2020-03-11,69.999998209404,69.99861915025964,70.00127529704403,69.999998209404,69.999998209404,-2.2659655888760764e-05,-2.2659655888760764e-05,-2.2659655888760764e-05,-2.2659655888760764e-05,-2.2659655888760764e-05,-2.2659655888760764e-05,0.0,0.0,0.0,69.99997554974811
2020-03-12,70.999986240364,70.99851511436395,71.0012768295454,70.999986240364,70.999986240364,-5.301048555043226e-06,-5.301048555043226e-06,-5.301048555043226e-06,-5.301048555043226e-06,-5.301048555043226e-06,-5.301048555043226e-06,0.0,0.0,0.0,70.99998093931544
2020-03-13,71.999974271324,71.99866005438375,72.00129572536612,71.999974271324,71.999974271324,1.6100842493673514e-05,1.6100842493673514e-05,1.6100842493673514e-05,1.6100842493673514e-05,1.6100842493673514e-05,1.6100842493673514e-05,0.0,0.0,0.0,71.9999903721665
2020-03-14,72.999962302284,72.99872173798508,73.00128643808252,72.999962302284,72.999962302284,2.344813571735776e-05,2.344813571735776e-05,2.344813571735776e-05,2.344813571735776e-05,2.344813571735776e-05,2.344813571735776e-05,0.0,0.0,0.0,72.99998575041973
2020-03-15,73.999973520444,73.9987062057877,74.00132100976145,73.999973520444,73.999973520444,1.2960432586769096e-05,1.2960432586769096e-05,1.2960432586769096e-05,1.2960432586769096e-05,1.2960432586769096e-05,1.2960432586769096e-05,0.0,0.0,0.0,73.99998648087659
2020-03-16,74.999984738604,74.99854436453126,75.00129544438714,74.999984738604,74.999984738604,-3.6439915499389143e-06,-3.6439915499389143e-06,-3.6439915499389143e-06,-3.6439915499389143e-06,-3.6439915499389143e-06,-3.6439915499389143e-06,0.0,0.0,0.0,74.99998109461245
2020-03-17,75.999995956764,75.9986193829013,76.00136404413227,75.999995956764,75.999995956764,-2.0904714804051512e-05,-2.0904714804051512e-05,-2.0904714804051512e-05,-2.0904714804051512e-05,-2.0904714804051512e-05,-2.0904714804051512e-05,0.0,0.0,0.0,75.9999750520492
